temp,logg,feh,alpha,band,resolution,vsini,sampling,correctflag,quality,cond1,cond2,cond3
2800,4.5,0.0,0.0,H,60k,1.0,3.0,0,4840,6.6,12.8,6.9
2800,4.5,0.0,0.0,H,60k,5.0,3.0,0,3320,9.8,18.8,10.2
2800,4.5,0.0,0.0,H,60k,10.0,3.0,0,1860,17.8,34.7,18.4
2800,4.5,0.0,0.0,K,60k,1.0,3.0,0,5415,8.2,27.0,8.7
2800,4.5,0.0,0.0,K,60k,5.0,3.0,0,3634,12.4,39.7,13.2
2800,4.5,0.0,0.0,K,60k,10.0,3.0,0,1981,23.0,70.7,24.6
2800,4.5,0.0,0.0,Y,60k,1.0,3.0,0,7230,5.8,7.4,5.9
2800,4.5,0.0,0.0,Y,60k,5.0,3.0,0,4923,8.7,10.7,8.8
2800,4.5,0.0,0.0,Y,60k,10.0,3.0,0,2963,14.7,17.5,14.9
2800,4.5,0.0,0.0,Z,80k,1.0,3.0,0,15694,2.6,5.1,2.7
2800,4.5,0.0,0.0,Z,80k,5.0,3.0,0,7823,5.4,10.3,5.6
2800,4.5,0.0,0.0,Z,80k,10.0,3.0,0,3603,11.9,22.4,12.4
2800,4.5,0.0,0.0,J,80k,1.0,3.0,0,5028,5.5,14.4,5.8
2800,4.5,0.0,0.0,J,80k,5.0,3.0,0,2772,10.3,27.3,10.9
2800,4.5,0.0,0.0,J,80k,10.0,3.0,0,1448,20.1,52.9,21.2
2800,4.5,0.0,0.0,H,80k,1.0,3.0,0,6223,4.4,8.5,4.6
2800,4.5,0.0,0.0,H,80k,5.0,3.0,0,3735,7.5,14.4,7.8
2800,4.5,0.0,0.0,H,80k,10.0,3.0,0,1952,14.7,28.7,15.2
2800,4.5,0.0,0.0,K,80k,1.0,3.0,0,7050,5.4,17.9,5.7
2800,4.5,0.0,0.0,K,80k,5.0,3.0,0,4116,9.4,30.5,10.0
2800,4.5,0.0,0.0,K,80k,10.0,3.0,0,2079,19.0,58.5,20.3
2800,4.5,0.0,0.0,Y,80k,1.0,3.0,0,9691,3.7,4.8,3.8
2800,4.5,0.0,0.0,Y,80k,5.0,3.0,0,5512,6.7,8.3,6.8
2800,4.5,0.0,0.0,Y,80k,10.0,3.0,0,3086,12.2,14.6,12.4
2800,4.5,0.0,0.0,Z,100k,1.0,3.0,0,20148,1.8,3.6,1.9
2800,4.5,0.0,0.0,Z,100k,5.0,3.0,0,8460,4.4,8.5,4.6
2800,4.5,0.0,0.0,Z,100k,10.0,3.0,0,3727,10.3,19.3,10.7
2800,4.5,0.0,0.0,J,100k,1.0,3.0,0,6244,4.0,10.2,4.2
2800,4.5,0.0,0.0,J,100k,5.0,3.0,0,2965,8.6,22.8,9.1
2800,4.5,0.0,0.0,J,100k,10.0,3.0,0,1485,17.5,46.1,18.5
2800,4.5,0.0,0.0,H,100k,1.0,3.0,0,7326,3.3,6.4,3.5
2800,4.5,0.0,0.0,H,100k,5.0,3.0,0,3974,6.3,12.1,6.5
2800,4.5,0.0,0.0,H,100k,10.0,3.0,0,2002,12.8,25.0,13.3
2800,4.5,0.0,0.0,K,100k,1.0,3.0,0,8352,4.0,13.5,4.3
2800,4.5,0.0,0.0,K,100k,5.0,3.0,0,4395,7.9,25.6,8.4
2800,4.5,0.0,0.0,K,100k,10.0,3.0,0,2132,16.6,51.1,17.7
2800,4.5,0.0,0.0,Y,100k,1.0,3.0,0,11977,2.7,3.5,2.7
2800,4.5,0.0,0.0,Y,100k,5.0,3.0,0,5861,5.6,7.0,5.7
2800,4.5,0.0,0.0,Y,100k,10.0,3.0,0,3154,10.7,12.8,10.8
2600,4.5,0.0,0.0,Z,60k,1.0,3.0,0,14689,3.7,7.7,3.9
2600,4.5,0.0,0.0,Z,60k,5.0,3.0,0,9082,6.1,12.5,6.4
2600,4.5,0.0,0.0,Z,60k,10.0,3.0,0,4593,12.3,24.9,12.9
2600,4.5,0.0,0.0,J,60k,1.0,3.0,0,4972,6.4,17.1,6.8
2600,4.5,0.0,0.0,J,60k,5.0,3.0,0,3262,10.0,26.9,10.6
2600,4.5,0.0,0.0,J,60k,10.0,3.0,0,1832,18.1,47.2,19.1
2600,4.5,0.0,0.0,H,60k,1.0,3.0,0,6042,5.2,10.2,5.4
2600,4.5,0.0,0.0,H,60k,5.0,3.0,0,4129,7.8,15.4,8.0
2600,4.5,0.0,0.0,H,60k,10.0,3.0,0,2309,14.2,28.9,14.7
2600,4.5,0.0,0.0,K,60k,1.0,3.0,0,6897,6.2,20.2,6.6
2600,4.5,0.0,0.0,K,60k,5.0,3.0,0,4647,9.4,30.1,10.0
2600,4.5,0.0,0.0,K,60k,10.0,3.0,0,2558,17.4,54.0,18.6
2600,4.5,0.0,0.0,Y,60k,1.0,3.0,0,9153,4.8,6.3,4.9
2600,4.5,0.0,0.0,Y,60k,5.0,3.0,0,6193,7.2,9.1,7.3
2600,4.5,0.0,0.0,Y,60k,10.0,3.0,0,3782,12.1,14.6,12.2
2600,4.5,0.0,0.0,Z,80k,1.0,3.0,0,20802,2.2,4.6,2.3
2600,4.5,0.0,0.0,Z,80k,5.0,3.0,0,10483,4.6,9.4,4.8
2600,4.5,0.0,0.0,Z,80k,10.0,3.0,0,4873,10.1,20.4,10.5
2600,4.5,0.0,0.0,J,80k,1.0,3.0,0,6787,4.0,10.5,4.2
2600,4.5,0.0,0.0,J,80k,5.0,3.0,0,3701,7.6,20.4,8.0
2600,4.5,0.0,0.0,J,80k,10.0,3.0,0,1920,15.0,39.2,15.8
2600,4.5,0.0,0.0,H,80k,1.0,3.0,0,7792,3.4,6.7,3.5
2600,4.5,0.0,0.0,H,80k,5.0,3.0,0,4648,5.9,11.7,6.2
2600,4.5,0.0,0.0,H,80k,10.0,3.0,0,2424,11.7,23.8,12.1
2600,4.5,0.0,0.0,K,80k,1.0,3.0,0,8984,4.0,13.2,4.3
2600,4.5,0.0,0.0,K,80k,5.0,3.0,0,5254,7.1,23.0,7.6
2600,4.5,0.0,0.0,K,80k,10.0,3.0,0,2682,14.4,44.7,15.3
2600,4.5,0.0,0.0,Y,80k,1.0,3.0,0,12396,3.0,4.0,3.1
2600,4.5,0.0,0.0,Y,80k,5.0,3.0,0,6934,5.6,7.0,5.6
2600,4.5,0.0,0.0,Y,80k,10.0,3.0,0,3932,10.1,12.2,10.2
2600,4.5,0.0,0.0,Z,100k,1.0,3.0,0,26588,1.5,3.2,1.6
2600,4.5,0.0,0.0,Z,100k,5.0,3.0,0,11329,3.8,7.8,3.9
2600,4.5,0.0,0.0,Z,100k,10.0,3.0,0,5037,8.7,17.6,9.1
2600,4.5,0.0,0.0,J,100k,1.0,3.0,0,8462,2.8,7.4,3.0
2600,4.5,0.0,0.0,J,100k,5.0,3.0,0,3963,6.3,17.0,6.7
2600,4.5,0.0,0.0,J,100k,10.0,3.0,0,1970,13.0,34.2,13.8
2600,4.5,0.0,0.0,H,100k,1.0,3.0,0,9195,2.6,5.1,2.7
2600,4.5,0.0,0.0,H,100k,5.0,3.0,0,4947,5.0,9.8,5.2
2600,4.5,0.0,0.0,H,100k,10.0,3.0,0,2486,10.2,20.7,10.6
2600,4.5,0.0,0.0,K,100k,1.0,3.0,0,10672,3.0,9.9,3.2
2600,4.5,0.0,0.0,K,100k,5.0,3.0,0,5605,6.0,19.3,6.4
2600,4.5,0.0,0.0,K,100k,10.0,3.0,0,2749,12.5,39.1,13.4
2600,4.5,0.0,0.0,Y,100k,1.0,3.0,0,15462,2.1,2.9,2.2
2600,4.5,0.0,0.0,Y,100k,5.0,3.0,0,7377,4.7,5.9,4.7
2600,4.5,0.0,0.0,Y,100k,10.0,3.0,0,4015,8.8,10.7,8.9
