,Temp,logg,[Fe/H],Alpha,Band,Resolution,vsini,Sampling,Quality,Cond. 1,Cond. 2,Cond. 3,correct flag
5154,2600,4.5,-1.0,0.0,K,100000,1.0,3.0,6716.0,5.9,19.4,6.3,0
5157,2600,4.5,-1.0,0.0,Y,100000,1.0,3.0,17795.0,2.1,3.0,2.2,0
5205,2600,4.5,-0.5,0.0,Z,100000,1.0,3.0,23442.0,1.7,3.6,1.8,0
5208,2600,4.5,-0.5,0.0,J,100000,1.0,3.0,8884.0,3.0,7.6,3.1,0
5211,2600,4.5,-0.5,0.0,H,100000,1.0,3.0,8162.0,3.1,6.1,3.2,0
5214,2600,4.5,-0.5,0.0,K,100000,1.0,3.0,11746.0,3.1,9.8,3.3,0
5217,2600,4.5,-0.5,0.0,Y,100000,1.0,3.0,16743.0,2.2,3.0,2.3,0
5265,2600,4.5,0.0,0.0,Z,100000,1.0,3.0,28588.0,1.6,3.4,1.7,0
5268,2600,4.5,0.0,0.0,J,100000,1.0,3.0,9038.0,2.9,7.7,3.1,0
5271,2600,4.5,0.0,0.0,H,100000,1.0,3.0,9627.0,2.7,5.5,2.8,0
5274,2600,4.5,0.0,0.0,K,100000,1.0,3.0,11208.0,3.2,10.1,3.4,0
5277,2600,4.5,0.0,0.0,Y,100000,1.0,3.0,16538.0,2.2,2.9,2.3,0
5325,2600,4.5,0.5,0.0,Z,100000,1.0,3.0,28317.0,1.7,3.9,1.8,0
5328,2600,4.5,0.5,0.0,J,100000,1.0,3.0,9432.0,2.9,7.5,3.0,0
5331,2600,4.5,0.5,0.0,H,100000,1.0,3.0,10944.0,2.5,4.9,2.6,0
5334,2600,4.5,0.5,0.0,K,100000,1.0,3.0,12108.0,3.0,9.6,3.2,0
5337,2600,4.5,0.5,0.0,Y,100000,1.0,3.0,16151.0,2.2,2.9,2.3,0
5385,2600,4.5,1.0,0.0,Z,100000,1.0,3.0,26372.0,1.9,4.7,2.0,0
5388,2600,4.5,1.0,0.0,J,100000,1.0,3.0,10111.0,2.7,7.0,2.8,0
5391,2600,4.5,1.0,0.0,H,100000,1.0,3.0,11543.0,2.4,4.7,2.5,0
5394,2600,4.5,1.0,0.0,K,100000,1.0,3.0,12332.0,3.0,9.5,3.2,0
5397,2600,4.5,1.0,0.0,Y,100000,1.0,3.0,15923.0,2.3,2.8,2.3,0
6345,2300,4.5,-1.0,0.0,Z,100000,1.0,3.0,31413.0,1.4,3.2,1.5,0
6348,2300,4.5,-1.0,0.0,J,100000,1.0,3.0,13735.0,2.0,5.0,2.1,0
6351,2300,4.5,-1.0,0.0,H,100000,1.0,3.0,7877.0,3.6,6.5,3.7,0
6354,2300,4.5,-1.0,0.0,K,100000,1.0,3.0,8193.0,5.7,21.8,6.1,0
6357,2300,4.5,-1.0,0.0,Y,100000,1.0,3.0,24237.0,1.7,2.5,1.7,0
6405,2300,4.5,-0.5,0.0,Z,100000,1.0,3.0,37101.0,1.3,3.0,1.3,0
6408,2300,4.5,-0.5,0.0,J,100000,1.0,3.0,13741.0,1.9,5.0,2.0,0
6411,2300,4.5,-0.5,0.0,H,100000,1.0,3.0,9963.0,2.6,4.8,2.7,0
6414,2300,4.5,-0.5,0.0,K,100000,1.0,3.0,12965.0,2.9,9.4,3.1,0
6417,2300,4.5,-0.5,0.0,Y,100000,1.0,3.0,23484.0,1.7,2.6,1.8,0
6465,2300,4.5,0.0,0.0,Z,100000,1.0,3.0,36889.0,1.4,3.6,1.5,0
