,Temp,logg,[Fe/H],Alpha,Band,Resolution,vsini,Sampling,Quality,Cond. 1,Cond. 2,Cond. 3,correct flag
5265,2600,4.5,0.0,0.0,Z,100000,1.0,3.0,28588.0,1.6,3.4,1.7,0
5268,2600,4.5,0.0,0.0,J,100000,1.0,3.0,9038.0,2.9,7.7,3.1,0
5271,2600,4.5,0.0,0.0,H,100000,1.0,3.0,9627.0,2.7,5.5,2.8,0
5274,2600,4.5,0.0,0.0,K,100000,1.0,3.0,11208.0,3.2,10.1,3.4,0
5277,2600,4.5,0.0,0.0,Y,100000,1.0,3.0,16538.0,2.2,2.9,2.3,0
5565,2600,5.0,0.0,0.0,Z,100000,1.0,3.0,26039.0,1.7,3.8,1.8,0
5568,2600,5.0,0.0,0.0,J,100000,1.0,3.0,10134.0,2.6,6.6,2.7,0
5571,2600,5.0,0.0,0.0,H,100000,1.0,3.0,7591.0,3.4,6.7,3.5,0
5574,2600,5.0,0.0,0.0,K,100000,1.0,3.0,10135.0,3.5,10.2,3.7,0
5577,2600,5.0,0.0,0.0,Y,100000,1.0,3.0,18305.0,2.1,2.8,2.1,0
5865,2600,5.5,0.0,0.0,Z,100000,1.0,3.0,22152.0,2.0,4.8,2.1,0
5868,2600,5.5,0.0,0.0,J,100000,1.0,3.0,11938.0,2.2,5.5,2.3,0
5871,2600,5.5,0.0,0.0,H,100000,1.0,3.0,5833.0,4.4,8.0,4.5,0
5874,2600,5.5,0.0,0.0,K,100000,1.0,3.0,9343.0,3.9,10.6,4.1,0
5877,2600,5.5,0.0,0.0,Y,100000,1.0,3.0,21084.0,1.8,2.6,1.9,0
6165,2300,4.0,0.0,0.0,Z,100000,1.0,3.0,37960.0,1.5,3.8,1.5,0
6168,2300,4.0,0.0,0.0,J,100000,1.0,3.0,13778.0,1.9,5.4,2.0,0
6171,2300,4.0,0.0,0.0,H,100000,1.0,3.0,15643.0,1.7,3.3,1.7,0
6174,2300,4.0,0.0,0.0,K,100000,1.0,3.0,17285.0,2.0,6.0,2.1,0
6177,2300,4.0,0.0,0.0,Y,100000,1.0,3.0,21374.0,1.8,2.5,1.9,0
6465,2300,4.5,0.0,0.0,Z,100000,1.0,3.0,36889.0,1.4,3.6,1.5,0
6468,2300,4.5,0.0,0.0,J,100000,1.0,3.0,13646.0,1.9,5.0,2.0,0
6471,2300,4.5,0.0,0.0,H,100000,1.0,3.0,12496.0,2.0,3.9,2.1,0
6474,2300,4.5,0.0,0.0,K,100000,1.0,3.0,15268.0,2.2,6.4,2.4,0
6477,2300,4.5,0.0,0.0,Y,100000,1.0,3.0,22254.0,1.8,2.6,1.8,0
6765,2300,5.0,0.0,0.0,Z,100000,1.0,3.0,36127.0,1.4,3.7,1.4,0
6768,2300,5.0,0.0,0.0,J,100000,1.0,3.0,15066.0,1.7,4.5,1.8,0
6771,2300,5.0,0.0,0.0,H,100000,1.0,3.0,9106.0,2.8,5.2,2.9,0
6774,2300,5.0,0.0,0.0,K,100000,1.0,3.0,13044.0,2.7,7.6,2.9,0
6777,2300,5.0,0.0,0.0,Y,100000,1.0,3.0,24760.0,1.7,2.5,1.7,0
7065,2300,5.5,0.0,0.0,Z,100000,1.0,3.0,34321.0,1.5,3.9,1.6,0
7068,2300,5.5,0.0,0.0,J,100000,1.0,3.0,23206.0,1.2,2.7,1.2,0
7071,2300,5.5,0.0,0.0,H,100000,1.0,3.0,7855.0,3.6,6.1,3.7,0
7074,2300,5.5,0.0,0.0,K,100000,1.0,3.0,11045.0,3.8,11.2,4.0,0
7077,2300,5.5,0.0,0.0,Y,100000,1.0,3.0,28625.0,1.5,2.3,1.6,0
